,airline_sentiment,text,label
0,neutral, VirginAmerica What dhepburn said ,0
1,positive, VirginAmerica plus you ve added commercials to the experience tacky ,1
2,neutral, VirginAmerica I didn t today Must mean I need to take another trip ,0
3,negative, VirginAmerica it s really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,2
4,negative, VirginAmerica and it s a really big bad thing about it,2
5,negative, VirginAmerica seriously would pay 30 a flight for seats that didn t have this playing it s really the only bad thing about flying VA,2
6,positive, VirginAmerica yes nearly every time I fly VX this ear worm won t go away ,1
7,neutral, VirginAmerica Really missed a prime opportunity for Men Without Hats parody there https t co mWpG7grEZP,0
8,positive, virginamerica Well I didn t but NOW I DO D,1
9,positive, VirginAmerica it was amazing and arrived an hour early You re too good to me ,1
10,neutral, VirginAmerica did you know that suicide is the second leading cause of death among teens 10 24,0
11,positive, VirginAmerica I lt 3 pretty graphics so much better than minimal iconography D,1
12,positive, VirginAmerica This is such a great deal Already thinking about my 2nd trip to Australia amp I haven t even gone on my 1st trip yet p,1
13,positive, VirginAmerica virginmedia I m flying your fabulous Seductive skies again U take all the stress away from travel http t co ahlXHhKiyn,1
14,positive, VirginAmerica Thanks ,1
15,negative, VirginAmerica SFO PDX schedule is still MIA ,2
16,positive, VirginAmerica So excited for my first cross country flight LAX to MCO I ve heard nothing but great things about Virgin America 29DaysToGo,1
17,negative, VirginAmerica I flew from NYC to SFO last week and couldn t fully sit in my seat due to two large gentleman on either side of me HELP ,2
18,positive,I flying VirginAmerica ,1
19,positive, VirginAmerica you know what would be amazingly awesome BOS FLL PLEASE I want to fly with only you ,1
20,negative, VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select ,2
21,positive, VirginAmerica I love this graphic http t co UT5GrRwAaA,1
22,positive, VirginAmerica I love the hipster innovation You are a feel good brand ,1
23,neutral, VirginAmerica will you be making BOS gt LAS non stop permanently anytime soon ,0
24,negative, VirginAmerica you guys messed up my seating I reserved seating with my friends and you guys gave my seat away I want free internet,2
25,negative, VirginAmerica status match program I applied and it s been three weeks Called and emailed with no response ,2
26,negative, VirginAmerica What happened 2 ur vegan food options At least say on ur site so i know I won t be able 2 eat anything for next 6 hrs fail,2
27,neutral, VirginAmerica do you miss me Don t worry we ll be together very soon ,0
28,negative, VirginAmerica amazing to me that we can t get any cold air from the vents VX358 noair worstflightever roasted SFOtoBOS,2
29,neutral, VirginAmerica LAX to EWR Middle seat on a red eye Such a noob maneuver sendambien andchexmix,0
30,negative, VirginAmerica hi I just bked a cool birthday trip with you but i can t add my elevate no cause i entered my middle name during Flight Booking Problems ,2
31,neutral, VirginAmerica Are the hours of operation for the Club at SFO that are posted online current ,0
32,negative, VirginAmerica help left expensive headphones on flight 89 IAD to LAX today Seat 2A No one answering L amp F number at LAX ,2
33,negative, VirginAmerica awaiting my return phone call just would prefer to use your online self service option ,2
34,positive, VirginAmerica this is great news America could start flights to Hawaii by end of year http t co r8p2Zy3fe4 via Pacificbiznews,1
35,neutral,Nice RT VirginAmerica Vibe with the moodlight from takeoff to touchdown MoodlitMonday ScienceBehindTheExperience http t co Y7O0uNxTQP,0
36,positive, VirginAmerica Moodlighting is the only way to fly Best experience EVER Cool and calming MoodlitMonday,1
37,positive, VirginAmerica freddieawards Done and done Best airline around hands down ,1
38,neutral, VirginAmerica when can I book my flight to Hawaii ,0
39,negative, VirginAmerica Your chat support is not working on your site http t co vhp2GtDWPk,2
40,positive, VirginAmerica View of downtown Los Angeles the Hollywood Sign and beyond that rain in the mountains http t co Dw5nf0ibtr,1
41,negative, VirginAmerica Hey first time flyer next week excited But I m having a hard time getting my flights added to my Elevate account Help ,2
42,neutral, VirginAmerica plz help me win my bid upgrade for my flight 2 27 LAX gt SEA ,0
43,neutral, VirginAmerica I have an unused ticket but moved to a new city where you don t fly How can I fly with you before it expires travelhelp,0
44,neutral, VirginAmerica are flights leaving Dallas for Seattle on time Feb 24 ,0
45,positive, VirginAmerica I m elevategold for a good reason you rock ,1
46,neutral, VirginAmerica DREAM http t co oA2dRfAoQ2 http t co lWWdAc2kHx,0
47,positive, VirginAmerica wow this just blew my mind,1
48,neutral, VirginAmerica ladygaga carrieunderwood After last night tribute SoundOfMusic Oscars2015 ladygaga I think carrieunderwood agree,0
49,neutral, VirginAmerica ladygaga carrieunderwood All were entertaining,0
50,neutral, VirginAmerica Is flight 769 on it s way Was supposed to take off 30 minutes ago Website still shows On Time not In Flight Thanks ,0
51,positive, VirginAmerica ladygaga carrieunderwood Julie Andrews all the way though ladygaga was very impressive NO to Carrieunderwood,1
52,neutral, VirginAmerica wish you flew out of Atlanta Soon ,0
53,neutral, VirginAmerica ladygaga carrieunderwood Julie Andrews Hands down ,0
54,neutral, VirginAmerica Will flights be leaving Dallas for LA on February 24th ,0
55,negative, VirginAmerica hi i m so excited about your 99 LGA gt DAL deal but i ve been trying 2 book since last week amp the page never loads thx ,2
56,positive, VirginAmerica you know it Need it on my spotify stat guiltypleasures,1
57,positive, VirginAmerica ladygaga carrieunderwood I m Lady Gaga She is amazing ,1
58,neutral, VirginAmerica ladygaga carrieunderwood Carrie ,0
59,neutral, VirginAmerica New marketing song https t co F2LFULCbQ7 let us know what you think ,0
60,neutral, VirginAmerica ladygaga carrieunderwood Julie Andrews first but Lady Gaga wow d me last night Carrie Meh ,0
61,negative, VirginAmerica I called a 3 4 weeks ago about adding 3 flights from 2014 to my Elevate they still haven t shown up help ,2
62,neutral, VirginAmerica ladygaga carrieunderwood all are great but I have to go with CarrieUnderwood ,0
63,neutral, VirginAmerica LadyGaga CarrieUnderwood Sorry Mary Martin had it first ,0
64,positive, VirginAmerica ladygaga carrieunderwood love all three but you really can t beat the classics ,1
65,neutral, VirginAmerica Flight 0736 DAL to DCA 2 24 2 10pm Tried to check in could not Status please ,0
66,negative, VirginAmerica heyyyy guyyyys been trying to get through for an hour can someone call me please ,2
67,negative, VirginAmerica Hi Virgin I m on hold for 40 50 minutes are there any earlier flights from LA to NYC tonight earlier than 11 50pm ,2
68,positive, VirginAmerica Congrats on winning the Travelzoo award for Best Deals from an Airline US http t co kj1iljaebV,1
69,negative, VirginAmerica everything was fine until you lost my bag,2
70,neutral, virginamerica Need to change reservation Have Virgin credit card Do I need to modify on phone to waive change fee Or can I do online ,0
71,neutral, VirginAmerica I emailed your customer service team Let me know if you need the tracking number ,0
72,neutral, VirginAmerica hi I just booked a flight but need to add baggage how can I do this ,0
73,negative, VirginAmerica your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors http t co hy0VrfhjHt,2
74,positive, VirginAmerica not worried it s been a great ride in a new plane with great crew All airlines should be like this ,1
75,positive, VirginAmerica awesome I flew yall Sat morning Any way we can correct my bill ,1
76,neutral, VirginAmerica Or watch some of the best student films in the country at 35 000 feet CMFat35000feet http t co KEK5pDMGiF,0
77,neutral, VirginAmerica first time flying you all do you have a different rate policy for media Bags Thanks,0
78,negative, VirginAmerica what is going on with customer service Is there anyway to speak to a human asap Thank you ,2
79,neutral, VirginAmerica what happened to Doom ,0
80,negative, VirginAmerica why can t you supp the biz traveler like SouthwestAir and have customer service like JetBlue neverflyvirginforbusiness,2
81,positive, VirginAmerica I ve applied more then once to be a member of the inflight crew team Im 100 interested flightattendant dreampath G,1
82,negative, VirginAmerica you re the best Whenever I begrudgingly use any other airline I m delayed and Late Flight ,2
83,negative, VirginAmerica I have no interesting flying with you after this I will Cancelled Flight my next four flights I planned neverflyvirginforbusiness,2
84,negative, VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet neverflyvirgin,2
85,negative, VirginAmerica I m having trouble adding this flight my wife booked to my Elevate account Help http t co pX8hQOKS3R,2
86,neutral, VirginAmerica Can t bring up my reservation online using Flight Booking Problems code,0
87,neutral, VirginAmerica Random Q what s the distribution of elevate avatars I bet that kitty has a disproportionate share http t co APtZpuROp4,0
88,neutral, VirginAmerica I lt 3 Flying VA But Life happens and I am trying to change my trip JPERHI Can you help VA home page will not let me ,0
89,negative, VirginAmerica Why is the site down When will it be back up ,2
90,neutral, VirginAmerica You down with RNP Yeah you know me ,0
91,neutral, VirginAmerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account ,0
92,negative, VirginAmerica I like the TV and interesting video Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday ,2
93,negative, VirginAmerica just landed in LAX an hour after I should of been here Your no Late Flight bag check is not business travel friendly nomorevirgin,2
94,neutral, VirginAmerica why is flight 345 redirected ,0
95,negative, VirginAmerica Is it me or is your website down BTW your new website isn t a great user experience Time for another redesign ,2
96,negative, VirginAmerica I can t check in or add a bag Your website isn t working I ve tried both desktop and mobile http t co AvyqdMpi1Y,2
97,negative, VirginAmerica Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin uncomfortable,2
98,negative, virginamerica What is your phone number I can t find who to call about a flight reservation ,2
99,negative, VirginAmerica is anyone doing anything there today Website is useless and no one is answering the phone ,2
100,neutral, VirginAmerica trying to add my boy Prince to my ressie SF this Thursday VirginAmerica from LAX http t co GsB2J3c4gM,0
101,negative, VirginAmerica why must a traveler miss a flight to Late Flight check a bag I missed my morning appointments and you lost my business sfo2lax,2
102,neutral, VirginAmerica check out new music http t co maRcnOCWzn,0
103,negative, virginamerica how s a direct flight FLL gt SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight sneaky,2
104,negative, VirginAmerica your no Late Flight bag check just lost you my business I missed flight and AM apt Three other people on flight had same exp ,2
105,positive, VirginAmerica amazing customer service again RaeAnn in SF she s the best customerservice virginamerica flying,1
106,negative, VirginAmerica called your service line and was hung up on This is awesome sarcasm,2
107,negative, VirginAmerica your site is tripping I m trying to check in and I m getting the plain text version I am reluctant to enter any card info ,2
108,neutral, VirginAmerica I was scheduled for SFO 2 DAL flight 714 today Changed to 24th due weather Looks like flight still on ,0
109,positive, VirginAmerica has getaway deals through May from 59 one way Lots of cool cities http t co tZZJhuIbCH CheapFlights FareCompare,1
110,neutral, VirginAmerica has getaway deals through May from 59 one way Lots of cool cities http t co RPdBpX3wNd CheapFlights FareCompare,0
111,positive, VirginAmerica has getaway deals through May from 59 one way Lots of cool cities http t co B2Xi4YG5T8 CheapFlights FareCompare,1
112,neutral, VirginAmerica has getaway deals through May from 59 one way Lots of cool cities http t co QDlJHslOI5 CheapFlights FareCompare,0
113,positive, VirginAmerica Have a great week ,1
114,positive, VirginAmerica come back to PHL already We need you to take us out of this horrible cold pleasecomeback http t co gLXFwP6nQH,1
